"Region Name","Region Type","Data Type",Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016
"Portland","city","All Homes","$270,800","$274,700","$277,900","$279,700","$280,900","$282,600","$285,600","$288,700","$290,500","$291,700","$293,800","$295,600","$297,300","$298,300","$299,100","$300,300","$301,300","$301,300","$299,400","$296,500","$294,600","$294,400","$294,000","$293,200","$291,700","$290,200","$288,800","$287,500","$286,300","$284,800","$282,500","$280,500","$280,400","$281,400","$281,300","$280,000","$278,400","$276,700","$275,000","$273,500","$272,600","$271,800","$271,300","$271,200","$270,700","$269,300","$267,500","$266,600","$265,800","$264,100","$261,700","$259,300","$256,400","$253,500","$251,400","$250,400","$249,600","$248,100","$245,900","$243,800","$242,000","$240,700","$240,600","$240,500","$239,800","$239,500","$239,300","$239,100","$239,300","$238,700","$238,100","$238,100","$238,900","$240,900","$243,800","$246,700","$250,200","$253,200","$255,400","$257,100","$257,200","$258,100","$262,200","$267,000","$270,500","$274,500","$278,800","$282,600","$284,300","$286,800","$290,900","$294,300","$296,000","$298,700","$301,500","$303,100","$303,300","$299,100","$293,700","$292,200","$294,600","$295,700","$296,500","$297,200","$297,800","$298,200","$299,200","$301,200","$304,800","$313,500","$321,600","$325,000","$327,200","$332,500","$337,100","$342,200","$348,100","$353,600","$357,600","$360,500"
"Alameda","neighborhood","All Homes","$465,000","$472,500","$480,900","$489,000","$495,200","$500,300","$504,700","$510,200","$515,000","$517,800","$519,900","$523,000","$525,700","$526,600","$525,300","$523,500","$522,100","$520,600","$518,300","$516,200","$516,300","$517,900","$519,700","$519,100","$517,000","$514,800","$513,400","$512,000","$510,700","$509,000","$507,200","$502,400","$495,400","$490,300","$487,500","$484,600","$481,500","$477,600","$473,900","$471,700","$470,800","$469,100","$467,200","$467,100","$467,000","$467,000","$467,000","$467,200","$466,800","$465,200","$462,700","$460,700","$458,400","$455,200","$451,900","$450,000","$449,300","$447,900","$445,100","$441,000","$436,600","$433,800","$432,500","$431,900","$432,100","$433,200","$435,100","$437,800","$440,700","$442,500","$444,700","$449,700","$456,100","$462,700","$469,400","$474,700","$477,400","$479,900","$483,100","$485,600","$487,100","$489,200","$493,300","$500,100","$507,700","$514,200","$519,900","$525,700","$532,000","$538,000","$542,600","$546,100","$549,300","$552,600","$556,000","$559,800","$563,100","$566,200","$570,900","$576,200","$579,400","$581,700","$584,800","$587,500","$589,900","$592,700","$594,200","$593,500","$595,700","$603,000","$611,200","$618,300","$626,500","$636,300","$646,200","$656,400","$669,100","$681,700","$690,400","$696,000"
"Arbor Lodge","neighborhood","All Homes","$256,600","$259,700","$262,500","$265,200","$267,600","$270,100","$272,500","$274,200","$275,000","$276,100","$277,000","$277,500","$277,900","$278,600","$279,600","$281,100","$282,700","$283,400","$282,800","$281,500","$281,400","$282,300","$282,900","$282,900","$282,400","$281,100","$279,700","$278,300","$277,000","$275,300","$273,400","$271,300","$269,700","$268,500","$267,900","$267,300","$267,000","$266,600","$265,800","$264,700","$263,600","$262,900","$262,900","$263,900","$265,000","$264,600","$263,500","$262,900","$261,700","$259,300","$257,300","$254,800","$250,800","$247,200","$245,000","$243,400","$242,200","$240,900","$238,700","$236,200","$233,900","$232,300","$231,200","$231,400","$233,300","$235,800","$237,300","$237,200","$236,900","$237,500","$238,800","$241,300","$245,100","$249,100","$252,000","$254,300","$256,100","$257,700","$259,500","$261,900","$263,700","$265,100","$267,100","$270,600","$276,300","$283,000","$288,500","$291,900","$294,900","$298,100","$300,300","$301,900","$303,600","$306,600","$310,300","$311,700","$309,500","$306,600","$306,300","$307,900","$310,900","$313,300","$316,000","$319,300","$322,200","$324,100","$326,300","$329,300","$333,500","$338,700","$344,500","$350,600","$356,400","$361,600","$367,000","$373,800","$381,300","$387,600","$392,700","$396,900"
"Argay","neighborhood","All Homes","$276,100","$277,600","$279,300","$280,700","$282,200","$284,000","$286,800","$290,400","$293,600","$296,300","$299,000","$301,500","$304,100","$306,200","$307,200","$307,600","$307,400","$305,700","$303,300","$301,400","$299,700","$297,400","$294,900","$292,900","$290,500","$288,100","$285,700","$282,500","$279,400","$277,400","$275,100","$271,500","$268,700","$267,200","$265,500","$263,000","$260,900","$259,500","$258,700","$257,700","$256,500","$255,400","$254,300","$253,500","$252,000","$250,300","$248,700","$247,100","$245,200","$243,100","$240,200","$237,500","$235,000","$232,000","$229,100","$226,800","$225,100","$223,900","$222,600","$220,600","$218,100","$215,200","$212,100","$210,600","$210,700","$211,000","$210,600","$210,500","$210,900","$211,300","$212,300","$214,400","$216,400","$218,100","$219,800","$220,600","$220,600","$221,700","$223,700","$225,000","$226,000","$227,100","$228,100","$229,000","$230,800","$233,900","$238,200","$242,800","$246,600","$249,500","$252,000","$253,300","$254,000","$255,400","$257,200","$259,700","$261,700","$261,900","$261,800","$262,200","$262,200","$261,400","$261,300","$261,600","$261,400","$260,400","$260,300","$261,200","$263,700","$267,400","$271,600","$274,900","$278,300","$281,700","$285,400","$290,100","$295,100","$298,900","$301,200","$302,800"
"Arnold Creek","neighborhood","All Homes","$463,400","$470,700","$476,500","$481,500","$485,800","$488,300","$489,000","$489,900","$489,400","$488,900","$489,600","$490,500","$489,500","$488,100","$488,300","$488,900","$488,700","$489,100","$490,100","$488,500","$486,500","$485,400","$484,600","$483,800","$482,500","$478,400","$472,800","$468,700","$465,800","$462,600","$458,400","$452,300","$448,100","$448,300","$449,300","$446,600","$442,900","$441,200","$441,600","$440,700","$438,700","$435,800","$433,000","$431,300","$429,400","$426,300","$425,100","$426,400","$427,000","$424,700","$419,200","$412,700","$405,700","$398,900","$394,500","$393,000","$392,100","$389,900","$385,500","$379,400","$373,400","$370,000","$368,600","$368,000","$368,500","$370,500","$372,300","$374,300","$376,200","$376,900","$377,700","$379,800","$382,200","$384,000","$385,400","$386,800","$387,800","$388,500","$388,500","$388,300","$388,600","$390,100","$391,600","$394,100","$397,800","$401,400","$407,100","$413,800","$419,800","$423,900","$428,200","$431,600","$435,200","$439,400","$442,600","$445,400","$450,400","$456,100","$458,300","$459,500","$461,100","$463,100","$465,600","$468,300","$468,800","$467,600","$468,900","$472,700","$476,300","$479,400","$483,500","$489,300","$495,800","$502,300","$508,400","$514,600","$520,700","$525,800","$529,700","$532,900"
"Ashcreek","neighborhood","All Homes","$310,600","$314,800","$318,100","$320,000","$322,200","$325,500","$328,500","$330,000","$330,700","$332,100","$334,000","$335,500","$337,600","$339,900","$341,400","$342,300","$342,900","$342,800","$341,600","$340,300","$339,800","$339,800","$339,500","$338,100","$335,500","$331,900","$328,900","$327,000","$325,300","$323,100","$320,600","$317,100","$314,800","$314,800","$315,800","$315,600","$313,900","$310,900","$307,900","$305,700","$304,000","$301,900","$300,000","$298,600","$297,000","$294,900","$293,000","$291,500","$290,400","$288,900","$286,600","$283,700","$280,500","$277,500","$275,500","$274,600","$273,300","$270,600","$267,200","$264,400","$261,800","$259,900","$259,100","$259,300","$259,700","$259,900","$259,500","$259,800","$261,400","$262,800","$263,400","$265,300","$268,300","$271,200","$274,100","$276,400","$278,100","$279,800","$282,100","$283,200","$283,600","$285,000","$288,200","$291,900","$295,300","$299,500","$304,700","$309,900","$314,500","$318,500","$322,200","$325,700","$329,500","$333,400","$337,100","$338,600","$338,900","$339,400","$340,500","$341,300","$342,700","$344,200","$346,400","$348,300","$348,200","$346,900","$346,200","$347,500","$352,400","$359,000","$363,500","$366,600","$370,000","$374,100","$378,200","$382,900","$388,600","$394,500","$399,300","$403,000"
"Beaumont-Wilshire","neighborhood","All Homes","$356,500","$362,300","$369,600","$376,600","$381,400","$384,600","$386,700","$388,900","$391,200","$392,800","$394,400","$396,100","$397,500","$397,600","$396,200","$393,500","$390,800","$389,700","$389,400","$388,300","$387,000","$387,800","$389,400","$390,100","$389,200","$387,700","$386,100","$384,700","$384,100","$382,800","$379,200","$374,700","$372,300","$372,200","$372,300","$370,700","$368,300","$365,700","$362,500","$359,300","$357,700","$357,300","$357,500","$358,400","$358,500","$357,400","$356,800","$357,800","$359,400","$360,000","$358,500","$357,500","$356,300","$354,000","$351,800","$352,500","$353,700","$352,700","$349,400","$345,100","$340,500","$336,700","$335,200","$335,700","$336,600","$337,900","$339,600","$341,500","$343,500","$344,900","$345,600","$346,800","$348,900","$352,600","$358,000","$363,200","$367,500","$371,300","$374,200","$376,100","$377,500","$378,700","$381,500","$387,700","$395,900","$403,600","$410,200","$415,400","$418,800","$422,800","$426,700","$428,000","$428,900","$432,000","$435,000","$436,800","$438,700","$440,500","$443,700","$449,500","$454,000","$454,100","$454,000","$455,200","$456,300","$458,000","$462,700","$469,000","$475,800","$481,300","$483,600","$484,500","$487,800","$493,000","$499,600","$507,400","$514,900","$521,500","$527,700","$532,500"
"Boise","neighborhood","All Homes","$265,100","$269,500","$274,300","$278,800","$282,400","$286,000","$289,800","$292,200","$293,300","$293,800","$293,700","$293,800","$294,200","$294,100","$294,700","$295,600","$295,400","$294,800","$294,000","$294,600","$296,700","$299,700","$301,900","$303,300","$304,000","$305,100","$305,400","$304,800","$304,100","$303,300","$301,600","$298,800","$295,800","$294,200","$293,700","$291,900","$288,600","$285,900","$283,900","$282,100","$281,000","$280,400","$278,900","$277,500","$275,700","$273,200","$271,900","$273,500","$276,300","$277,700","$277,700","$277,600","$277,600","$277,300","$277,500","$278,500","$279,000","$278,200","$277,600","$277,600","$277,800","$275,200","$270,300","$266,200","$264,300","$262,900","$262,900","$263,600","$264,300","$265,200","$266,800","$268,700","$270,400","$273,400","$278,100","$283,000","$286,100","$288,500","$291,300","$295,200","$299,800","$304,300","$307,600","$310,900","$316,100","$322,600","$329,800","$335,900","$338,400","$339,100","$341,100","$343,600","$345,800","$347,300","$348,000","$347,700","$346,700","$345,700","$345,000","$345,600","$348,200","$351,200","$353,200","$354,600","$355,600","$356,600","$357,400","$358,800","$362,400","$367,800","$373,600","$380,500","$388,700","$398,100","$406,600","$413,500","$420,200","$428,000","$436,400","$443,700"
"Brentwood-Darlington","neighborhood","All Homes","$183,700","$186,300","$188,800","$191,000","$193,200","$195,200","$196,900","$198,400","$199,500","$200,400","$201,300","$202,300","$203,200","$203,400","$203,300","$203,500","$203,500","$203,000","$202,600","$202,400","$202,600","$202,600","$202,200","$202,000","$201,300","$200,100","$198,800","$197,100","$195,300","$193,600","$191,900","$190,000","$188,600","$187,800","$187,100","$185,600","$184,400","$183,800","$183,500","$182,800","$182,000","$181,600","$181,700","$181,500","$180,600","$179,600","$178,500","$177,400","$176,200","$174,600","$172,400","$170,300","$168,500","$166,500","$164,000","$161,900","$160,600","$159,100","$157,300","$155,700","$154,600","$153,200","$151,900","$151,000","$150,700","$150,000","$148,600","$147,500","$146,800","$145,900","$145,200","$145,000","$144,800","$145,000","$145,400","$145,700","$145,700","$146,100","$147,500","$149,100","$150,300","$151,800","$154,000","$157,000","$161,100","$165,400","$169,200","$173,100","$177,100","$180,600","$183,100","$184,900","$186,700","$189,300","$192,000","$193,500","$192,700","$191,500","$191,300","$192,000","$192,700","$193,800","$195,800","$198,200","$199,600","$200,400","$202,100","$204,700","$208,400","$213,000","$217,100","$220,300","$223,900","$228,000","$232,400","$236,700","$241,300","$245,900","$249,400","$251,600"
"Bridlemile","neighborhood","All Homes","$450,500","$454,800","$457,400","$460,100","$463,000","$466,600","$469,500","$471,400","$472,800","$474,100","$477,200","$480,300","$483,000","$486,900","$490,800","$491,100","$490,100","$488,900","$487,600","$486,600","$485,600","$484,100","$481,300","$479,300","$476,600","$471,500","$465,500","$462,000","$460,900","$460,600","$458,500","$453,500","$449,500","$448,700","$448,800","$445,700","$442,000","$437,900","$432,500","$426,600","$423,000","$420,300","$417,700","$416,600","$416,600","$415,300","$412,200","$409,200","$405,300","$400,700","$397,500","$395,900","$392,700","$388,000","$385,000","$384,100","$383,300","$381,100","$379,900","$379,300","$379,900","$381,000","$381,400","$381,300","$382,900","$384,900","$386,900","$389,000","$390,000","$389,400","$388,900","$390,300","$392,000","$394,100","$396,800","$398,600","$397,200","$394,700","$392,600","$390,900","$389,900","$390,800","$394,000","$398,100","$401,400","$405,400","$411,200","$418,000","$425,100","$433,300","$439,900","$444,300","$448,100","$452,700","$456,300","$459,700","$463,400","$466,600","$468,800","$470,900","$472,800","$473,500","$474,100","$475,600","$477,800","$480,000","$483,400","$486,400","$490,300","$496,800","$506,200","$515,600","$522,000","$526,100","$532,100","$541,000","$551,200","$559,600","$563,000","$563,700"
