5810 SE Reedway St,", Portland OR","5810 SE Reedway St, Portland OR",2015
3505 N Willis Blvd,", Portland OR","3505 N Willis Blvd, Portland OR",2015
5030 NE 28th Ave,", Portland OR","5030 NE 28th Ave, Portland OR",2015
1616 SE 87th Ave,", Portland OR","1616 SE 87th Ave, Portland OR",2015
3344 SW Palatine St,", Portland OR","3344 SW Palatine St, Portland OR",2015
3910 SE 34th Ave,", Portland OR","3910 SE 34th Ave, Portland OR",2015
5117 SE Cora St,", Portland OR","5117 SE Cora St, Portland OR",2015
4439 N Willis Blvd,", Portland OR","4439 N Willis Blvd, Portland OR",2015
2937 NE Rosa Parks Way,", Portland OR","2937 NE Rosa Parks Way, Portland OR",2015
2925 NE Rosa Parks Way,", Portland OR","2925 NE Rosa Parks Way, Portland OR",2015
1208 SE Ankeny St,", Portland OR","1208 SE Ankeny St, Portland OR",2015
5018 SE Carlton St,", Portland OR","5018 SE Carlton St, Portland OR",2015
6325 SE 48th Ave,", Portland OR","6325 SE 48th Ave, Portland OR",2015
5606 N Greeley Ave,", Portland OR","5606 N Greeley Ave, Portland OR",2015
8515 SE 21st Ave,", Portland OR","8515 SE 21st Ave, Portland OR",2015
5737 N Albina Ave,", Portland OR","5737 N Albina Ave, Portland OR",2015
6305 NE 27th Ave,", Portland OR","6305 NE 27th Ave, Portland OR",2015
3836 SE 26th Ave,", Portland OR","3836 SE 26th Ave, Portland OR",2015
1416 SE Clatsop St,", Portland OR","1416 SE Clatsop St, Portland OR",2015
4524 SE 41st Ave,", Portland OR","4524 SE 41st Ave, Portland OR",2015
1201 NE Holland St,", Portland OR","1201 NE Holland St, Portland OR",2015
904 SW Gibbs St,", Portland OR","904 SW Gibbs St, Portland OR",2015
8226 SE 63rd Ave,", Portland OR","8226 SE 63rd Ave, Portland OR",2015
836 SW Gibbs St,", Portland OR","836 SW Gibbs St, Portland OR",2015
2007 SE Yamhill St,", Portland OR","2007 SE Yamhill St, Portland OR",2015
6856 N Greenwich Ave,", Portland OR","6856 N Greenwich Ave, Portland OR",2015
3620 NE 43rd Ave,", Portland OR","3620 NE 43rd Ave, Portland OR",2015
4431 SW Coronado St,", Portland OR","4431 SW Coronado St, Portland OR",2015
2486 NW Raleigh St,", Portland OR","2486 NW Raleigh St, Portland OR",2015
2581 NE 30th Ave,", Portland OR","2581 NE 30th Ave, Portland OR",2015
6846 N Greenwich Ave,", Portland OR","6846 N Greenwich Ave, Portland OR",2015
3942 NE 76th Ave,", Portland OR","3942 NE 76th Ave, Portland OR",2015
8205 SE 69th Ave,", Portland OR","8205 SE 69th Ave, Portland OR",2015
5919 NE 11th Ave,", Portland OR","5919 NE 11th Ave, Portland OR",2015
1722 NE Liberty St,", Portland OR","1722 NE Liberty St, Portland OR",2015
1515 SE 44th Ave,", Portland OR","1515 SE 44th Ave, Portland OR",2015
4805 NE Garfield Ave,", Portland OR","4805 NE Garfield Ave, Portland OR",2015
3535 SW Logan St,", Portland OR","3535 SW Logan St, Portland OR",2015
935 N Webster St,", Portland OR","935 N Webster St, Portland OR",2015
524 NE 128th Ave,", Portland OR","524 NE 128th Ave, Portland OR",2015
4334 SE Hawthorne Blvd,", Portland OR","4334 SE Hawthorne Blvd, Portland OR",2015
3935 NE Rodney Ave,", Portland OR","3935 NE Rodney Ave, Portland OR",2015
5747 SE Carlton St,", Portland OR","5747 SE Carlton St, Portland OR",2015
1724 N Sumner St,", Portland OR","1724 N Sumner St, Portland OR",2015
3925 NE Rodney Ave,", Portland OR","3925 NE Rodney Ave, Portland OR",2015
5110 SE 111th Ave,", Portland OR","5110 SE 111th Ave, Portland OR",2015
1410 NE Junior St,", Portland OR","1410 NE Junior St, Portland OR",2015
924 SE Tacoma St,", Portland OR","924 SE Tacoma St, Portland OR",2015
5205 NE 25th Ave,", Portland OR","5205 NE 25th Ave, Portland OR",2015
7434 N Charleston Ave,", Portland OR","7434 N Charleston Ave, Portland OR",2015
6025 SE Lambert St,", Portland OR","6025 SE Lambert St, Portland OR",2015
10345 SE Ramona St,", Portland OR","10345 SE Ramona St, Portland OR",2015
3679 SE Knapp St,", Portland OR","3679 SE Knapp St, Portland OR",2015
6414 NE 34th Ave,", Portland OR","6414 NE 34th Ave, Portland OR",2015
633 NE Thompson St,", Portland OR","633 NE Thompson St, Portland OR",2015
623 NE Thompson St,", Portland OR","623 NE Thompson St, Portland OR",2015
3945 NE Mallory Ave,", Portland OR","3945 NE Mallory Ave, Portland OR",2015
1136 SE Oak St,", Portland OR","1136 SE Oak St, Portland OR",2015
9138 N Van Houten Ave,", Portland OR","9138 N Van Houten Ave, Portland OR",2015
2558 SE 109th Ave,", Portland OR","2558 SE 109th Ave, Portland OR",2015
3721 SE Nehalem St,", Portland OR","3721 SE Nehalem St, Portland OR",2015
5403 NE 17th Ave,", Portland OR","5403 NE 17th Ave, Portland OR",2015
1307 NE 111th Ave,", Portland OR","1307 NE 111th Ave, Portland OR",2015
4005 NE Columbia Blvd,", Portland OR","4005 NE Columbia Blvd, Portland OR",2015
5605 SE 67th Ave,", Portland OR","5605 SE 67th Ave, Portland OR",2015
5329 NE 17th Ave,", Portland OR","5329 NE 17th Ave, Portland OR",2015
12320 SE Reedway St,", Portland OR","12320 SE Reedway St, Portland OR",2015
4224 SE 101st Ave,", Portland OR","4224 SE 101st Ave, Portland OR",2015
537 NE Ainsworth St,", Portland OR","537 NE Ainsworth St, Portland OR",2015
343 NE 75th Ave,", Portland OR","343 NE 75th Ave, Portland OR",2015
4826 N Missouri Ave,", Portland OR","4826 N Missouri Ave, Portland OR",2015
7104 N Kerby Ave,", Portland OR","7104 N Kerby Ave, Portland OR",2015
5236 SE Henderson St,", Portland OR","5236 SE Henderson St, Portland OR",2015
1535 NE Jarrett St,", Portland OR","1535 NE Jarrett St, Portland OR",2015
5903 SE Knight St,", Portland OR","5903 SE Knight St, Portland OR",2015
7715 SE 22nd Ave,", Portland OR","7715 SE 22nd Ave, Portland OR",2015
342 NE 74th Ave,", Portland OR","342 NE 74th Ave, Portland OR",2015
1626 NE 9th Ave,", Portland OR","1626 NE 9th Ave, Portland OR",2015
1926 NE Mason St,", Portland OR","1926 NE Mason St, Portland OR",2015
1640 SE Tacoma St,", Portland OR","1640 SE Tacoma St, Portland OR",2015
8500 SE Sherrett St,", Portland OR","8500 SE Sherrett St, Portland OR",2015
7834 SE Taylor St,", Portland OR","7834 SE Taylor St, Portland OR",2015
4160 SW Patrick Pl,", Portland OR","4160 SW Patrick Pl, Portland OR",2015
7471 N Huron Ave,", Portland OR","7471 N Huron Ave, Portland OR",2015
9232 N Smith St,", Portland OR","9232 N Smith St, Portland OR",2015
7339 SW 54th Ave,", Portland OR","7339 SW 54th Ave, Portland OR",2015
2821 N Willis Blvd,", Portland OR","2821 N Willis Blvd, Portland OR",2015
4005 SE Lambert St,", Portland OR","4005 SE Lambert St, Portland OR",2015
1017 SE 50th Ave,", Portland OR","1017 SE 50th Ave, Portland OR",2015
7933 N Courtenay Ave,", Portland OR","7933 N Courtenay Ave, Portland OR",2015
4525 NE Fremont St,", Portland OR","4525 NE Fremont St, Portland OR",2015
4515 NE Fremont St,", Portland OR","4515 NE Fremont St, Portland OR",2015
7345 SW 54th Ave,", Portland OR","7345 SW 54th Ave, Portland OR",2015
920 NE Sumner St,", Portland OR","920 NE Sumner St, Portland OR",2015
7627 SE Milwaukie Ave,", Portland OR","7627 SE Milwaukie Ave, Portland OR",2015
2602 N Terry St,", Portland OR","2602 N Terry St, Portland OR",2015
5025 N Amherst St,", Portland OR","5025 N Amherst St, Portland OR",2015
3215 NE 42nd Ave,", Portland OR","3215 NE 42nd Ave, Portland OR",2015
5252 NE Multnomah St,", Portland OR","5252 NE Multnomah St, Portland OR",2015
2658 NW Thurman St,", Portland OR","2658 NW Thurman St, Portland OR",2015
2652 NW Thurman St,", Portland OR","2652 NW Thurman St, Portland OR",2015
1221 SE Malden St,", Portland OR","1221 SE Malden St, Portland OR",2015
1554 NE 74th Ave,", Portland OR","1554 NE 74th Ave, Portland OR",2015
4511 Southeast Madison Street,", Portland OR","4511 Southeast Madison Street, Portland OR",2015
203 North Holland Street,", Portland OR","203 North Holland Street, Portland OR",2015
10020 Northeast Pacific Street,", Portland OR","10020 Northeast Pacific Street, Portland OR",2015
5049 Southwest Nevada Court,", Portland OR","5049 Southwest Nevada Court, Portland OR",2015
7524 Southeast Long Street,", Portland OR","7524 Southeast Long Street, Portland OR",2015
7974 Southeast 6th Avenue,", Portland OR","7974 Southeast 6th Avenue, Portland OR",2015
7980 Southeast 6th Avenue,", Portland OR","7980 Southeast 6th Avenue, Portland OR",2015
5012 Southeast 50th Avenue,", Portland OR","5012 Southeast 50th Avenue, Portland OR",2015
3416 Northeast Alameda Street,", Portland OR","3416 Northeast Alameda Street, Portland OR",2015
6223 Southeast Tolman Street,", Portland OR","6223 Southeast Tolman Street, Portland OR",2015
8052 North Jersey Street,", Portland OR","8052 North Jersey Street, Portland OR",2015
8330 Southwest 45th Avenue,", Portland OR","8330 Southwest 45th Avenue, Portland OR",2015
5030 Southeast Harold Street,", Portland OR","5030 Southeast Harold Street, Portland OR",2015
4065 North Michigan Avenue,", Portland OR","4065 North Michigan Avenue, Portland OR",2015
6524 Northeast Grand Avenue,", Portland OR","6524 Northeast Grand Avenue, Portland OR",2015
5414 Southeast Taylor Street,", Portland OR","5414 Southeast Taylor Street, Portland OR",2015
2024 Southeast Harold Street,", Portland OR","2024 Southeast Harold Street, Portland OR",2015
4842 Southeast Ogden Street,", Portland OR","4842 Southeast Ogden Street, Portland OR",2015
4021 Northeast 7th Avenue,", Portland OR","4021 Northeast 7th Avenue, Portland OR",2015
625 Northeast Randall Avenue,", Portland OR","625 Northeast Randall Avenue, Portland OR",2015
13207 Southeast Washington Street,", Portland OR","13207 Southeast Washington Street, Portland OR",2015
3030 Southeast Rex Street,", Portland OR","3030 Southeast Rex Street, Portland OR",2015
4444 Southwest Ormandy Way,", Portland OR","4444 Southwest Ormandy Way, Portland OR",2015
2727 Northeast Brazee Court,", Portland OR","2727 Northeast Brazee Court, Portland OR",2015
8514 Southwest 46th Avenue,", Portland OR","8514 Southwest 46th Avenue, Portland OR",2015
7850 Southwest 30th Avenue,", Portland OR","7850 Southwest 30th Avenue, Portland OR",2015
1450 Southwest Jefferson Street,", Portland OR","1450 Southwest Jefferson Street, Portland OR",2015
4015 Southwest Alice Street,", Portland OR","4015 Southwest Alice Street, Portland OR",2015
9221 Southwest 40th Avenue,", Portland OR","9221 Southwest 40th Avenue, Portland OR",2015
9105 Northeast Sacramento Street,", Portland OR","9105 Northeast Sacramento Street, Portland OR",2015
2834 Southeast 20th Avenue,", Portland OR","2834 Southeast 20th Avenue, Portland OR",2015
7028 Southeast Crystal Springs Boulevard,", Portland OR","7028 Southeast Crystal Springs Boulevard, Portland OR",2015
2224 Southeast 32nd Place,", Portland OR","2224 Southeast 32nd Place, Portland OR",2015
6608 Southeast 43rd Avenue,", Portland OR","6608 Southeast 43rd Avenue, Portland OR",2015
5626 Northeast 30th Avenue,", Portland OR","5626 Northeast 30th Avenue, Portland OR",2015
4909 Southeast Mitchell Street,", Portland OR","4909 Southeast Mitchell Street, Portland OR",2015
9022 Northeast Irving Street,", Portland OR","9022 Northeast Irving Street, Portland OR",2015
1806 North Alberta Street,", Portland OR","1806 North Alberta Street, Portland OR",2015
4319 North Borthwick Avenue,", Portland OR","4319 North Borthwick Avenue, Portland OR",2015
4270 Southwest Melville Avenue,", Portland OR","4270 Southwest Melville Avenue, Portland OR",2015
2115 Southeast 44th Avenue,", Portland OR","2115 Southeast 44th Avenue, Portland OR",2015
6716 North Borthwick Avenue,", Portland OR","6716 North Borthwick Avenue, Portland OR",2015
7333 North Westanna Avenue,", Portland OR","7333 North Westanna Avenue, Portland OR",2015
2736 North Hunt Street,", Portland OR","2736 North Hunt Street, Portland OR",2015
5048 Northeast 8th Avenue,", Portland OR","5048 Northeast 8th Avenue, Portland OR",2015
4110 Southeast Clinton Street,", Portland OR","4110 Southeast Clinton Street, Portland OR",2015
University of Portland,", Portland OR","University of Portland, Portland OR",2015
5406 North Willamette Boulevard,", Portland OR","5406 North Willamette Boulevard, Portland OR",2015
5308 North Willamette Boulevard,", Portland OR","5308 North Willamette Boulevard, Portland OR",2015
5316 North Willamette Boulevard,", Portland OR","5316 North Willamette Boulevard, Portland OR",2015
University of Portland,", Portland OR","University of Portland, Portland OR",2015
5414 North Willamette Boulevard,", Portland OR","5414 North Willamette Boulevard, Portland OR",2015
4512 Northeast 26th Avenue,", Portland OR","4512 Northeast 26th Avenue, Portland OR",2015
1414 Southeast Franklin Street,", Portland OR","1414 Southeast Franklin Street, Portland OR",2015
